symptom,disease
Đau đầu dữ dội ở vùng trán nhức hai hố mắt sau nhãn cầu.,2
Có thể có nổi mẩn phát ban da xung huyết.,2
Chán ăn buồn nôn. Sốt phát ban dưới da,2
Sốt cao Đau cơ đau khớp phát ban,2
Chảy máu mũi lợi tiểu ra máu sốt cao,2
nôn/ói ra máu đi cầu phân đen sốt cao,2
Đau bụng buồn nôn tay chân lạnh vật vã hốt hoảng sốt cao chóng mặt,2
sốt cao người mệt mỏi rũ rượi nhức đầu đau sau hốc mắt đau cơ đau họng buồn nôn nôn mửa đau vùng thượng vị và tiêu chảy,2
chấm xuất huyết dưới da nốt xuất huyết và chảy máu mũi sốt cao,2
sốt chảy máu chân răng chảy máu mũi và xuất huyết tiêu hóa. Phân có máu,2
Đau ngực khi bạn thở hoặc ho,3
Ho có đờm hoặc chất nhầy,3
Mệt mỏi và chán ăn Ho vừa đến nặng,3
Sốt vã mồ hôi và ớn lạnh ho,3
Buồn nôn nôn và tiêu chảy Ho có đờm hoặc chất nhầy,3
Hụt hơi Ho có đờm hoặc chất nhầy,3
Ho vừa đến nặng Thở nhanh liên tục Thở gắng sức Sốt vừa đến sốt cao,3
Ho có đờm Thở gắng sức Sốt vừa đến sốt cao,3
Sốt trên 38 độ C Đau ngực khi bạn thở hoặc ho,3
Thở nhanh Yếu người mệt mỏi Ho có đờm,3
Khó thở ho nhiều sốt nhẹ,3
Đau ngực khi ho chảy mũi,3
Mệt mỏi Đau ngực khi bạn thở hoặc ho,3
Sốt mệt mỏi tức ngực ho chảy nước mũi,3
Ho khan tuy nhiên có thể bội nhiễm và trở thành ho có đờm,3
Chảy nước mũi kèm ho,3
Đau cơ ho chảy mũi,3
Đau đầu sốt ho,3
Yếu người mệt mỏi sốt ho,3
Sốt Đau ngực Ho thường xuyên Mệt mỏi đau cơ Khó thở,3
sốt ho khan mệt mỏi,4
ho khan đau nhức đau đầu,4
mệt mỏi đau họng mất vị giác,4
đau nhức ho khan sốt nhẹ,4
đau họng ho khan,4
tiêu chảy sốt nhẹ mất vị giác,4
viêm kết mạc mệt mỏi mất vị giác,4
đau đầu mệt mỏi đau họng,4
mất vị giác hoặc khứu giác đau họng ho khan,4
ho khan sốt nhẹ đau họng da nổi mẩn hay ngón tay hoặc ngón chân bị tấy đỏ hoặc tím tái,4
khó thở sốt nhẹ mất vị giác,4
khó thở đau hoặc tức ngực,4
mất khả năng nói hoặc cử động ho khó thở,4
Cảm thấy khó thở Ho khan đau họng Sốt cao,4
mệt mỏi mất khứu giác đau cơ mất vị giác đau đầu. Sốt nhẹ,4
Mất khứu giác rối loạn  vị giác suy nhược mệt mỏi đau cơ  trầm cảm nhức đầu và lo âu,4
ho sốt khó thở,4
sốt ho mất khứu giác và vị giác,4
sốt ho buồn nôn hoặc nôn mửa tiêu chảy,4
sốt ho và mệt mỏi khó thở mất vị giác,4
hụt hơi mất mùi hoặc vị đau nhức cơ thể đau đầu đau họng chảy nước mũi hoặc nghẹt mũi,4
buồn nôn nôn mửa hoặc tiêu chảy. Mất vị giác ho khan đau họng,4
Đau bụng Nôn Gầy sút cân nhanh Da khô khát nước Mệt mỏi chóng mặt tiêu chảy nhiều lần,5
tiêu chảy liên tục sốt. phân có máu Đau bụng Mệt mỏi chóng mặt,5
sốt phân có máu phân toàn nước ít đau bụng tiêu chảy,5
tiêu chảy kéo dài đau bụng sốt nôn máu trong phân,5
Tiêu chảy liên tục Đầy bụng sôi bụng Nôn,5
Tiêu chảy khát nước da khô nhăn nheo phân lỏng như nước,5
Đi ngoài phân lỏng như nước Sốt Đau quặn bụng Có máu trong phân,5
tiêu chảy Đau bụng Nôn sốt,5
tiêu chảy da khô sốt Đau bụng,5
phân lỏng đau bụng nôn khát nước tiêu chảy liên tục,5
